Country;Year;Total;Coal;Oil;Gas;Cement;Flaring
Cape Verde;2021;0,67;0,00;0,67;0,00;0,00;0,00
Central African Republic;2021;0,23;0,00;0,23;0,00;0,00;0,00
Chad;2021;1,94;0,00;1,44;0,00;0,16;0,34
Chile;2021;85,45;26,18;46,82;11,61;0,83;0,01
China;2021;11472,37;7955,99;1713,34;773,87;852,96;4,68
Colombia;2021;91,70;12,02;49,94;23,26;5,87;0,62
Comoros;2021;0,30;0,00;0,30;0,00;0,00;0,00
Congo;2021;7,46;0,00;2,03;2,29;0,28;2,86
Cook Islands;2021;0,09;0,00;0,09;0,00;0,00;0,00
Costa Rica;2021;7,82;0,00;7,08;0,00;0,74;0,00
Côte d'Ivoire;2021;11,71;0,00;6,75;4,93;0,00;0,03
Croatia;2021;17,70;1,69;9,05;5,31;1,21;0,29
Cuba;2021;22,06;0,01;19,14;2,21;0,63;0,07
Curaçao;2021;1,84;0,00;1,84;0,00;0,00;0,00
Cyprus;2021;7,60;0,20;6,50;0,00;0,88;0,00
Czech Republic;2021;97,14;51,78;23,23;18,68;1,89;0,05
North Korea;2021;56,38;50,45;3,45;0,00;2,48;0,00
Democratic Republic of the Congo;2021;2,61;0,00;2,16;0,00;0,45;0,00
Denmark;2021;29,58;4,38;18,67;4,78;1,23;0,13
Djibouti;2021;0,38;0,00;0,30;0,00;0,08;0,00
Dominica;2021;0,16;0,00;0,16;0,00;0,00;0,00
Dominican Republic;2021;28,92;4,52;19,24;2,99;2,17;0,00
Ecuador;2021;41,32;0,00;35,50;1,03;2,47;2,32
Egypt;2021;249,62;6,23;97,01;126,31;16,16;3,92
El Salvador;2021;7,20;0,00;6,74;0,00;0,46;0,00
Equatorial Guinea;2021;5,22;0,00;1,12;3,63;0,00;0,48
Eritrea;2021;0,82;0,00;0,71;0,00;0,11;0,00
Estonia;2021;10,45;6,22;3,23;0,91;0,02;0,00
Ethiopia;2021;17,79;1,26;12,61;0,00;3,91;0,00
Faeroe Islands;2021;0,70;0,00;0,70;0,00;0,00;0,00
Micronesia (Federated States of);2021;0,16;0,00;0,16;0,00;0,00;0,00
Fiji;2021;1,47;0,00;1,47;0,00;0,00;0,00
Finland;2021;37,60;12,29;19,83;4,27;0,57;0,08
France;2021;305,96;28,88;179,75;85,58;5,99;2,15
French Guiana;2021;0,65;0,00;0,65;0,00;0,00;0,00
French Polynesia;2021;0,95;0,00;0,95;0,00;0,00;0,00
Gabon;2021;5,71;0,00;1,87;1,12;0,21;2,52
Gambia;2021;0,66;0,00;0,66;0,00;0,00;0,00
Georgia;2021;11,01;0,53;3,38;6,04;1,06;0,00
Germany;2021;674,75;230,22;248,20;173,48;13,23;1,81
Ghana;2021;21,31;0,00;13,11;4,75;2,32;1,13
Greece;2021;56,31;9,78;31,01;12,15;2,98;0,01
Greenland;2021;0,51;0,00;0,51;0,00;0,00;0,00
Grenada;2021;0,32;0,00;0,32;0,00;0,00;0,00
Guadeloupe;2021;2,29;0,42;1,87;0,00;0,00;0,00
Guatemala;2021;20,33;5,54;13,31;0,00;1,38;0,09
Guinea;2021;4,84;0,00;4,84;0,00;0,00;0,00
Guinea-Bissau;2021;0,35;0,00;0,35;0,00;0,00;0,00
Guyana;2021;3,09;0,00;2,68;0,00;0,16;0,25
Haiti;2021;2,88;0,00;2,80;0,00;0,08;0,00
Honduras;2021;10,90;0,00;10,12;0,00;0,78;0,00
Hong Kong;2021;31,66;13,83;7,48;9,74;0,61;0,00
Hungary;2021;48,45;6,39;18,38;22,11;0,93;0,16
India;2021;2709,68;1802,31;622,15;133,45;149,00;2,77
Indonesia;2021;619,28;303,15;210,25;74,09;28,64;3,15
Iraq;2021;185,58;0,00;116,83;30,04;5,24;33,46
Ireland;2021;37,54;6,29;18,44;10,50;1,77;0,00
Iran;2021;748,88;3,73;222,96;466,99;22,52;32,67
Israel;2021;54,53;14,04;19,61;19,45;1,42;0,00
Italy;2021;328,69;24,00;141,81;150,96;7,06;2,11
Jamaica;2021;7,69;0,37;6,34;0,57;0,40;0,00
Japan;2021;1067,40;418,82;395,36;221,53;23,79;0,34
Jordan;2021;25,59;0,54;15,08;8,21;1,76;0,00
Kazakhstan;2021;276,68;180,82;42,77;27,98;4,45;16,84
Kenya;2021;19,88;1,70;14,59;0,00;3,58;0,00
Kiribati;2021;0,07;0,00;0,07;0,00;0,00;0,00
Kosovo;2021;5,64;3,22;2,11;0,00;0,32;0,00
Kuwait;2021;106,13;0,00;53,74;49,82;1,22;1,36
Kyrgyzstan;2021;9,31;3,60;4,23;0,69;0,78;0,00
Laos;2021;20,78;15,10;3,62;0,00;2,05;0,00
Latvia;2021;7,27;0,14;4,24;2,27;0,55;0,00
Lebanon;2021;24,96;0,43;22,39;0,00;2,13;0,00
Lesotho;2021;2,28;1,58;0,70;0,00;0,00;0,00
Liberia;2021;1,20;0,00;1,06;0,00;0,13;0,00
Libya;2021;74,53;0,00;44,33;17,29;1,63;11,28
Liechtenstein;2021;0,15;0,00;0,10;0,06;0,00;0,00
Lithuania;2021;13,88;0,73;8,38;4,00;0,56;0,18
Luxembourg;2021;8,35;0,21;6,13;1,57;0,40;0,00
North Macedonia;2021;6,85;2,39;3,38;0,72;0,35;0,00
Madagascar;2021;4,24;1,47;2,69;0,00;0,09;0,00
Malawi;2021;1,55;0,23;1,23;0,00;0,09;0,00
Malaysia;2021;256,05;85,79;71,10;82,00;13,39;3,76
